"Relative Time (Process)","reranker-gte-multilingual-base-msmarco-bce-adamW-None-ep-1-3 - system/gpu.0.memoryAllocated","reranker-gte-multilingual-base-msmarco-bce-adamW-None-ep-1-3 - system/gpu.0.memoryAllocated__MIN","reranker-gte-multilingual-base-msmarco-bce-adamW-None-ep-1-3 - system/gpu.0.memoryAllocated__MAX","reranker-gte-multilingual-base-msmarco-bce-adamW-None-ep-1-3 - system/gpu.1.memoryAllocated","reranker-gte-multilingual-base-msmarco-bce-adamW-None-ep-1-3 - system/gpu.1.memoryAllocated__MIN","reranker-gte-multilingual-base-msmarco-bce-adamW-None-ep-1-3 - system/gpu.1.memoryAllocated__MAX","reranker-gte-multilingual-base-msmarco-bce-adamW-None-ep-1-3 - system/gpu.2.memoryAllocated","reranker-gte-multilingual-base-msmarco-bce-adamW-None-ep-1-3 - system/gpu.2.memoryAllocated__MIN","reranker-gte-multilingual-base-msmarco-bce-adamW-None-ep-1-3 - system/gpu.2.memoryAllocated__MAX","reranker-gte-multilingual-base-msmarco-bce-Lion-ep-1-3 - system/gpu.0.memoryAllocated","reranker-gte-multilingual-base-msmarco-bce-Lion-ep-1-3 - system/gpu.0.memoryAllocated__MIN","reranker-gte-multilingual-base-msmarco-bce-Lion-ep-1-3 - system/gpu.0.memoryAllocated__MAX","reranker-gte-multilingual-base-msmarco-bce-Lion-ep-1-3 - system/gpu.1.memoryAllocated","reranker-gte-multilingual-base-msmarco-bce-Lion-ep-1-3 - system/gpu.1.memoryAllocated__MIN","reranker-gte-multilingual-base-msmarco-bce-Lion-ep-1-3 - system/gpu.1.memoryAllocated__MAX","reranker-gte-multilingual-base-msmarco-bce-Lion-ep-1-3 - system/gpu.2.memoryAllocated","reranker-gte-multilingual-base-msmarco-bce-Lion-ep-1-3 - system/gpu.2.memoryAllocated__MIN","reranker-gte-multilingual-base-msmarco-bce-Lion-ep-1-3 - system/gpu.2.memoryAllocated__MAX"
"15.368892825","","","","","","","","","","46.84740028490029","46.84740028490029","46.84740028490029","41.09928266178266","41.09928266178266","41.09928266178266","38.71833028083028","38.71833028083028","38.71833028083028"
"15.429823943","49.69718676738734","49.69718676738734","49.69718676738734","46.561333246505164","46.561333246505164","46.561333246505164","44.62940652947816","44.62940652947816","44.62940652947816","","","","","","","","",""
"30.350210167","","","","","","","","","","46.84740028490029","46.84740028490029","46.84740028490029","41.10335266585267","41.10335266585267","41.10335266585267","38.71833028083028","38.71833028083028","38.71833028083028"
"30.425517538","49.701528175740215","49.701528175740215","49.701528175740215","46.561333246505164","46.561333246505164","46.561333246505164","44.62940652947816","44.62940652947816","44.62940652947816","","","","","","","","",""
"45.345494871","","","","","","","","","","46.84740028490029","46.84740028490029","46.84740028490029","41.10335266585267","41.10335266585267","41.10335266585267","38.71833028083028","38.71833028083028","38.71833028083028"
"45.426517899","52.150082486758706","52.150082486758706","52.150082486758706","46.561333246505164","46.561333246505164","46.561333246505164","44.62940652947816","44.62940652947816","44.62940652947816","","","","","","","","",""
"60.342484998","","","","","","","","","","46.84740028490029","46.84740028490029","46.84740028490029","41.10335266585267","41.10335266585267","41.10335266585267","38.71833028083028","38.71833028083028","38.71833028083028"
"60.423633238","52.150082486758706","52.150082486758706","52.150082486758706","46.561333246505164","46.561333246505164","46.561333246505164","44.62940652947816","44.62940652947816","44.62940652947816","","","","","","","","",""
"75.343790708","","","","","","","","","","46.85147028897029","46.85147028897029","46.85147028897029","42.59704415954416","42.59704415954416","42.59704415954416","47.204288766788764","47.204288766788764","47.204288766788764"
"75.418682217","52.150082486758706","52.150082486758706","52.150082486758706","46.561333246505164","46.561333246505164","46.561333246505164","44.62940652947816","44.62940652947816","44.62940652947816","","","","","","","","",""
"90.342580806","","","","","","","","","","46.85147028897029","46.85147028897029","46.85147028897029","42.59704415954416","42.59704415954416","42.59704415954416","47.204288766788764","47.204288766788764","47.204288766788764"
"90.420741251","52.15442389511158","52.15442389511158","52.15442389511158","46.561333246505164","46.561333246505164","46.561333246505164","53.824509420856124","53.824509420856124","53.824509420856124","","","","","","","","",""
"105.351380674","","","","","","","","","","46.85147028897029","46.85147028897029","46.85147028897029","44.090735653235654","44.090735653235654","44.090735653235654","52.1371336996337","52.1371336996337","52.1371336996337"
"105.42203599","52.15442389511158","52.15442389511158","52.15442389511158","46.561333246505164","46.561333246505164","46.561333246505164","53.824509420856124","53.824509420856124","53.824509420856124","","","","","","","","",""
"120.352219214","","","","","","","","","","46.85147028897029","46.85147028897029","46.85147028897029","44.090735653235654","44.090735653235654","44.090735653235654","52.1371336996337","52.1371336996337","52.1371336996337"
"120.42825014","52.15442389511158","52.15442389511158","52.15442389511158","48.154630112008334","48.154630112008334","48.154630112008334","60.076137448988455","60.076137448988455","60.076137448988455","","","","","","","","",""
"135.338153096","","","","","","","","","","46.85147028897029","46.85147028897029","46.85147028897029","44.363425925925924","44.363425925925924","44.363425925925924","52.1371336996337","52.1371336996337","52.1371336996337"
"135.424869901","52.15442389511158","52.15442389511158","52.15442389511158","48.154630112008334","48.154630112008334","48.154630112008334","60.076137448988455","60.076137448988455","60.076137448988455","","","","","","","","",""
"150.335501824","","","","","","","","","","46.85147028897029","46.85147028897029","46.85147028897029","44.363425925925924","44.363425925925924","44.363425925925924","52.1371336996337","52.1371336996337","52.1371336996337"
"150.416662821","52.15442389511158","52.15442389511158","52.15442389511158","49.609001910219675","49.609001910219675","49.609001910219675","60.076137448988455","60.076137448988455","60.076137448988455","","","","","","","","",""
"165.34359247","","","","","","","","","","59.31382275132275","59.31382275132275","59.31382275132275","44.363425925925924","44.363425925925924","44.363425925925924","58.759030321530325","58.759030321530325","58.759030321530325"
"165.423929453","52.15442389511158","52.15442389511158","52.15442389511158","49.609001910219675","49.609001910219675","49.609001910219675","60.076137448988455","60.076137448988455","60.076137448988455","","","","","","","","",""
"180.353856466","","","","","","","","","","59.31382275132275","59.31382275132275","59.31382275132275","47.220568783068785","47.220568783068785","47.220568783068785","58.759030321530325","58.759030321530325","58.759030321530325"
"180.432000132","52.15442389511158","52.15442389511158","52.15442389511158","49.609001910219675","49.609001910219675","49.609001910219675","68.70251584614049","68.70251584614049","68.70251584614049","","","","","","","","",""
"195.3517623","","","","","","","","","","59.31382275132275","59.31382275132275","59.31382275132275","47.220568783068785","47.220568783068785","47.220568783068785","58.759030321530325","58.759030321530325","58.759030321530325"
"195.423553523","66.54619258487453","66.54619258487453","66.54619258487453","53.33393027698185","53.33393027698185","53.33393027698185","68.70251584614049","68.70251584614049","68.70251584614049","","","","","","","","",""
"210.355778965","","","","","","","","","","59.31382275132275","59.31382275132275","59.31382275132275","47.220568783068785","47.220568783068785","47.220568783068785","58.759030321530325","58.759030321530325","58.759030321530325"
"210.420198365","66.54619258487453","66.54619258487453","66.54619258487453","53.33393027698185","53.33393027698185","53.33393027698185","68.70251584614049","68.70251584614049","68.70251584614049","","","","","","","","",""
"225.350916343","","","","","","","","","","59.31382275132275","59.31382275132275","59.31382275132275","47.220568783068785","47.220568783068785","47.220568783068785","58.759030321530325","58.759030321530325","58.759030321530325"
"225.434143323","66.54619258487453","66.54619258487453","66.54619258487453","53.33393027698185","53.33393027698185","53.33393027698185","68.70251584614049","68.70251584614049","68.70251584614049","","","","","","","","",""
"240.348457688","","","","","","","","","","59.31382275132275","59.31382275132275","59.31382275132275","47.220568783068785","47.220568783068785","47.220568783068785","58.759030321530325","58.759030321530325","58.759030321530325"
